entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio
CBUGET5PnvLc3HvEeFYj64iTvdKhYV6pujTPDdDh785K,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CLsFr1KZVbAyz16iFpwg2e4hiekR1unpwyxfNdjBMaoE,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CPcDFHCAKkr5Kp9T5aQWJhXV5J6iFj141NMQ87L6poPL,2,4,1,-0.0,15,0.0,0.0,0.5715190920583629,56,0,30,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CTwsruptUccEtZGNxBDbuusHYxkBX3P6ndrxVjSG213y,1,2,1,-0.0,13,0.0,0.0,0.5650240592355926,26,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.6,1,6156.75,6099.75,0.9902
CVgwMrWo9chKEuEPCe6Za9KJe8jamnAcoeWzaMeNubr6,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,10,20,1,-0.0,16,0.0,16.0,0.587083008849862,296,0,158,0.9333333333333333,0.0031034530831958403,496.4,3.2,1,6156.75,6099.75,0.9902
CZanBzZHFzrGY5qKzaX3CNhJ5smHEMTWFFnoeUi4J6dr,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.8,1,6156.75,6099.75,0.9902
CarrotLYPhQzYL4fEsTUvEzw5QDaMGSZUENHSkh7qzQa,1,4,2,0.9182958340544896,3,1.0,0.0,0.6095448045598981,17,0,3,0.9333333333333333,0.0031034530831958403,496.4,1.0,485,6156.75,6099.75,0.9902
