entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio,pca_1,pca_2,pca_3,risk_score,anomaly_score,risk_rank
FFevTkywysWf8PJvH4DZkEp4v9ks9HJPJhZWbhhJiYnr,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
STaKesuXJH6UGRizuEVSWG1tyLu5ycKgWj3i1HUdvs5,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
BCJN2vZFAHDYmufBDcbD5UAQHSyerXfc6UQkgX3mSWuh,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
BM2vE2QqkB9fGtC34WPtM8drbgta13SBkhRq6dRG9J4J,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
TopjgY7N1fJdnW89S9fX6t7LF61nspgXGL1NpgAKhDG,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
AjGby82yXeYgj3kmng9y3c4nQpZFmiPpJKecLJTHbfbP,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
EBk678aQvc3cUkfGyoehfw21JQfJXjmWuBeopYc89RSV,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
DEU4agzdUCA5oZ1QSLxCyZb1smvdu5j1NXXsK2r823Uu,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
fotby1ABxpei2EVH9uXJ6KbHYgPjbg4Sny9eRzQjtRN,1,2,1,-0.0,14,0.0,0.0,0.5785796953519811,30,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1567627891481467,0.024666682139528235,-0.1609004349512968,-1,-0.26520521091137145,200.0
radM7PKUpZwJ9bYPAJ7V8FXHeUmH1zim6iaXUKkftP9,1,2,1,-0.0,14,0.0,0.0,0.5832753236275038,26,0,15,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1523671237961097,-0.04507605030776555,-0.044917742990701524,-1,-0.2653034490806412,203.0
odcvDWH5wHVKz9XtmGGxTj5ZsmawTjCCty3nyBKDGzS,1,2,1,-0.0,14,0.0,0.0,0.5832753236275038,26,0,15,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1523671237961097,-0.04507605030776555,-0.044917742990701524,-1,-0.2653034490806412,203.0
SaV6UWBaE8M3kwMBfAhQ6Tmvd2qdJRm94NTwLqtoyGd,1,2,1,-0.0,14,0.0,0.0,0.5832753236275038,26,0,15,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1523671237961097,-0.04507605030776555,-0.044917742990701524,-1,-0.2653034490806412,203.0
wetkjRRRDrSPAzHqfVHtFDbhNnejKm5UPfkHeccFCpo,1,2,1,-0.0,14,0.0,0.0,0.5832753236275038,26,0,15,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1523671237961097,-0.04507605030776555,-0.044917742990701524,-1,-0.2653034490806412,203.0
97jbhVBYcSmwGXjrx5PPWXucDsVBqwyoQ6rzP3B6eeMt,1,2,1,-0.0,14,0.0,0.0,0.5832753236275038,26,0,15,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1523671237961097,-0.04507605030776555,-0.044917742990701524,-1,-0.2653034490806412,203.0
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,1,2,1,-0.0,13,0.0,0.0,0.5737761610693919,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17071117319763077,-0.37749825247722674,-0.35444055431415156,-1,-0.2670107736783992,207.5
5P35CJVKU15Rrh5M6EVkre23EyA3K34kAut2GXhHKM7W,1,2,1,-0.0,13,0.0,0.0,0.5737761610693919,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17071117319763077,-0.37749825247722674,-0.35444055431415156,-1,-0.2670107736783992,207.5
GLAMiBuunBioazKwNbkGnWP6BM2sfVjehr4goPPGBFAC,1,2,1,-0.0,13,0.0,0.0,0.5737761610693919,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17071117319763077,-0.37749825247722674,-0.35444055431415156,-1,-0.2670107736783992,207.5
